X1,X2,X3,X4,X5,X6,X7,X8,y_deterministic,y
0.235,0.637,0.087,0.502,0.349,-0.696,-0.083,0.472,0.289,0.302
0.129,0.436,0.771,0.361,0.772,0.8,-0.203,1.046,1.412,1.998
0.905,0.254,0.483,0.126,-0.765,0.617,0.301,-0.899,3.505,1.759
0.672,0.826,0.03,0.502,-1.594,0.398,1.373,1.046,0.652,0.764
0.583,0.915,0.217,0.973,0.259,0.617,-0.547,-1.172,0.485,0.297
0.383,0.514,0.454,0.05,-0.254,0.109,0.775,-1.127,2.971,4.158
0.905,0.163,0.281,0.414,1.04,-0.177,-0.471,-2.691,2.565,2.941
0.635,0.866,0.754,0.373,1.66,1.331,1.373,-0.899,2.672,1.842
0.034,0.866,0.561,0.06,-0.601,-0.177,1.878,-1.282,1.68,1.056
0.905,0.244,0.853,0.945,-1.508,-0.696,1.232,0.097,1.524,1.058
0.764,0.915,0.051,0.931,1.66,-0.437,-1.253,-0.091,1.194,1.554
0.712,0.637,0.901,0.108,1.66,1.751,-0.515,-1.448,4.138,5.803
0.106,0.6,0.514,0.49,0.401,0.398,-0.872,0.813,0.702,0.487
0.44,0.436,0.585,0.39,1.04,-0.925,-0.196,0.313,1.613,1.932
0.332,0.866,0.748,0.718,-0.055,-0.47,-1.336,-0.161,0.928,0.708
0.058,0.967,0.969,0.044,-0.085,1.331,0.093,-0.58,3.48,2.19
0.411,0.562,0.901,0.395,0.401,-0.369,-1.448,-2.15,2.148,1.58
0.209,0.562,0.074,0.143,-1.594,0.8,-1.807,-0.291,2.287,2.619
0.935,0.866,0.989,0.726,-0.085,-0.177,-1.039,-0.161,2.39,2.79
0.44,0.866,0.252,0.05,-0.581,-0.177,0.4,0.988,2.805,3.411
0.424,0.826,0.853,0.417,-0.889,0.208,2.513,-0.229,0.743,0.773
0.025,0.806,0.387,0.229,0.229,-0.369,0.133,0.777,0.695,0.8
0.152,0.041,0.771,0.006,-0.507,0.69,-1.039,-0.973,6.309,7.764
0.808,0.29,0.663,0.291,0.229,1.331,-1.807,-0.294,2.534,1.887
0.808,0.844,0.728,0.35,-0.055,-4,-2.435,1.443,2.485,3.583
0.093,0.163,0.02,0.35,-0.085,0.723,1.034,0.003,0.652,0.706
0.974,0.738,0.165,0.291,0.136,-0.852,0.339,1.771,2.018,1.531
0.264,0.436,0.03,0.409,0.076,-0.177,0.133,1.443,0.665,0.481
0.383,0.775,0.31,0.05,0.725,-0.369,1.498,-0.748,2.433,1.804
0.332,0.935,0.504,0.912,0.076,-0.177,0.133,-0.58,-0.063,-0.054
0.383,0.244,0.728,0.026,-0.866,1.056,-1.039,-1.748,4.409,5.2
0.418,0.738,0.912,0.863,0.401,-2.628,-0.138,0.712,0.672,0.937
0.712,0.254,0.043,0.941,0.076,0.174,1.878,0.288,0.33,0.311
0.672,0.041,0.043,0.247,-0.409,0.617,0.204,-0.973,2.502,2.01
0.235,0.637,0.629,0.398,-0.601,-0.177,0.023,-0.778,0.93,1.339
0.418,0.101,0.145,0.016,0.401,0.398,-0.515,-0.973,4.804,2.568
0.571,0.844,0.733,0.397,0.349,0.398,0.204,1.114,1.577,1.356
0.492,0.95,0.02,0.432,-2.243,0.8,-1.19,0.813,1.293,0.725
0.905,0.101,0.373,0.171,-0.507,0.723,-0.347,-1.748,3.507,3.672
0.635,0.101,0.328,0.838,-4,-2.628,-2.435,1.257,1.609,2.172
0.223,0.041,0.252,0.931,1.66,-2.628,0.775,1.257,0.182,0.147
0.069,0.163,0.771,0.325,-0.866,0.398,1.373,-0.394,1.069,0.708
0.764,0.436,0.409,0.223,-0.18,-0.696,-0.471,0.097,2.492,1.726
0.069,0.101,0.373,0.502,0.401,-0.177,-1.648,-0.748,1.114,1.561
0.876,0.101,0.629,0.471,0.253,0.208,-0.347,-0.246,2.577,3.794
0.583,0.935,0.281,0.665,-2.028,-0.369,-0.921,1.795,0.838,0.623
0.157,0.806,0.439,0.825,1.66,1.331,1.067,-2.15,0.59,0.827
0.003,0.915,0.047,0.947,-0.409,-2.628,0.614,0.856,-1.342,-1.708
0.264,0.163,0.116,0.803,0.259,0.398,2.513,0.499,-0.396,-0.373
0.408,0.163,0.439,0.812,-1.22,-0.925,-0.471,1.348,0.8,0.425
0.223,0.976,0.129,0.634,1.391,-2.628,1.232,-0.58,-0.457,-0.622
0.396,0.254,0.853,0.182,0.215,-2.628,-0.537,0.278,2.556,1.506
0.157,0.163,0.415,0.124,-0.84,-2.628,-0.921,0.777,2.157,1.528
0.459,0.009,0.226,0.325,0.956,-1.052,0.023,0.335,2.007,2.556
0.069,0.826,0.712,0.705,1.329,-0.696,0.737,0.003,0.05,0.033
0.034,0.637,0.544,0.557,1.04,1.331,0.204,1.443,0.661,0.553
0.583,0.009,0.226,0.445,0.401,-0.369,1.373,2.027,1.396,1.271
0.192,0.069,0.765,0.291,-0.055,0.208,-0.616,0.551,2.118,2.002
0.832,0.069,0.328,0.008,1.207,-0.369,-0.921,-2.15,6.702,6.541
