X1,X2,X3,X4,X5,X6,X7,X8,y_deterministic,y
0.876,0.844,0.226,0.112,0.908,1.331,-0.805,0.42,3.226,2.26
0.492,0.984,0.187,0.682,-0.66,1.331,-0.537,0.729,0.495,0.372
0.276,0.355,0.25,0.763,-0.237,1.143,1.684,-1.127,0.813,1.186
0.332,0.436,0.439,0.823,-0.507,-2.628,-0.471,0.813,0.219,0.208
0.424,0.069,0.03,0.197,0.772,0.208,-0.347,-0.58,2.273,2.662
0.75,0.775,0.518,0.589,1.04,0.398,-0.347,0.288,1.657,1.202
0.016,0.29,0.771,0.027,0.596,-0.47,0.478,0.888,3.506,4.885
0.583,0.314,0.929,0.846,-1.22,0.398,0.315,0.003,1.495,0.832
0.661,0.637,0.912,0.166,-0.409,-0.369,0.568,-0.072,2.845,3.91
0.672,0.71,0.739,0.05,-0.866,1.242,-0.347,1.114,4.12,4.935
0.459,0.826,0.364,0.665,0.238,-0.925,-0.471,-0.597,0.528,0.394
0.208,0.984,0.534,0.89,-0.889,0.174,-1.648,0.313,0.305,0.174
0.235,0.614,0.129,0.132,-1.22,1.143,0.339,-1.282,1.99,1.246
0.484,0.101,0.383,0.675,-0.409,0.8,-0.347,-0.291,1.382,1.264
0.034,0.637,0.733,0.668,-0.84,0.208,2.292,-0.748,-0.462,-0.241
0.844,0.009,0.832,0.968,0.054,0.208,0.523,0.988,2.056,2.474
0.583,0.218,0.949,0.755,-0.237,1.056,0.4,-0.086,2.085,2.133
0.672,0.562,0.76,0.661,-0.66,-0.437,-1.19,-0.305,1.799,2.563
0.952,0.355,0.608,0.562,2.057,-0.696,0.523,0.003,2.296,2.342
0.359,0.637,0.561,0.431,-0.507,1.331,-0.669,-0.161,1.157,1.314
0.016,0.614,0.424,0.817,1.329,-2.628,-0.471,0.003,-0.227,-0.267
0.034,0.738,0.629,0.325,0.259,0.208,-0.347,1.443,0.848,0.69
0.069,0.637,0.129,0.604,0.136,0.617,1.373,0.472,-0.438,-0.56
0.157,0.866,0.708,0.158,-0.804,1.751,0.133,0.988,2.084,1.653
0.75,0.637,0.172,0.273,-0.507,-1.052,-0.196,0.42,1.874,2.755
0.468,0.272,0.697,0.093,2.057,0.723,1.373,-0.973,3.345,3.354
0.672,0.946,0.226,0.634,0.076,1.331,1.112,0.335,1.266,1.388
0.182,0.826,0.67,0.353,1.66,-0.925,-0.347,0.393,1.263,1.468
0.783,0.163,0.087,0.979,0.002,-2.628,-0.203,-1.584,0.871,0.676
0.062,0.607,0.252,0.471,-0.409,0.398,-0.196,0.097,0.25,0.159
0.192,0.009,0.738,0.373,0.956,-0.696,1.747,-0.229,1.389,0.726
0.034,0.614,0.31,0.435,-0.581,-0.177,-0.404,0.472,0.311,0.214
0.492,0.254,0.514,0.888,0.401,-1.132,-1.19,-1.282,1.035,0.558
0.518,0.314,0.715,0.813,-0.409,1.856,-2.435,-0.394,1.001,1.439
0.157,0.726,0.063,0.813,-1.266,-0.369,0.523,1.771,-0.545,-0.425
0.069,0.314,0,0.003,-0.224,-0.177,-0.872,-0.412,5.62,8.353
0.157,0.009,0.02,0.809,-0.055,-0.177,0.614,2.003,0.205,0.305
0.868,0.436,0.663,0.49,1.391,0.398,-0.805,0.313,2.659,2.018
0.672,0.915,0.771,0.417,-0.66,0.208,-0.921,0.856,2.051,1.316
0.27,0.29,0.881,0.541,-2.243,-1.052,-0.347,1.443,1.352,1.574
0.85,0.726,0.331,0.846,0.245,-2.628,-0.347,0.813,0.838,1.038
0.583,0.614,0.832,0.145,-0.507,0.8,0.093,-0.445,3.05,4.211
0.492,0.548,0.129,0.095,-0.765,-0.696,-1.807,-0.017,3.014,4.14
0.712,0.069,0.349,0.866,-0.804,-0.369,-0.196,-0.217,1.341,0.923
0.276,0.101,0,0.218,-0.087,0.398,0.614,-1.448,1.573,0.898
0.624,0.314,0.387,0.468,-1.508,1.331,-0.364,1.257,1.696,1.846
0.44,0.614,0.302,0.027,-0.18,0.617,-0.347,0.313,3.959,2.099
0.44,0.637,0.58,0.976,1.599,0.97,-1.19,0.003,0.653,0.922
0.952,0.436,0.808,0.39,0.223,-0.696,0.614,0.988,2.441,2.678
0.383,0.915,0.929,0.621,0.136,1.856,0.523,1.257,1.569,2.293
0.424,0.844,0.918,0.075,2.365,0.97,-2.435,0.003,3.479,3.476
0.129,0.79,0.979,0.921,0.725,-0.47,-0.515,-1.172,0.498,0.558
0.974,0.355,0.853,0.543,-0.409,0.69,0.614,-0.017,2.498,1.778
0.583,0.844,0.912,0.152,0.401,-0.723,0.737,1.443,2.585,3.215
0.411,0.101,0.208,0.134,-1.594,-0.696,0.204,-1.748,2.365,2.2
0.069,0.738,0.217,0.888,0.259,-0.696,-0.347,0.988,-0.531,-0.582
0.808,0.844,0.534,0.772,-0.625,-0.852,0.523,0.097,0.878,1.057
0.235,0.29,0.424,0.693,-1.22,0.8,-0.347,0.856,0.708,0.886
0.44,0.71,0.929,0.441,-0.641,-0.177,1.747,0.66,1.114,1.552
0.365,0.009,0.853,0.445,1.207,-0.696,-0.471,-0.394,2.43,1.406
